Total Sales,Product Name,Product ID,Period
32.656,GBC Standard Plastic Binding Systems' Combs,OFF-BI-10001308,2018-11-01 - 2018-11-30
2665.62,Hon 94000 Series Round Tables,FUR-TA-10003954,2018-11-01 - 2018-11-30
40.99,Xerox 1893,OFF-PA-10001033,2018-11-01 - 2018-11-30
189.7,Xerox 1939,OFF-PA-10004243,2018-11-01 - 2018-11-30
27.78,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",OFF-AR-10004685,2018-11-01 - 2018-11-30
8.856,Colored Envelopes,OFF-EN-10003845,2018-11-01 - 2018-11-30
25.02,Document Clip Frames,FUR-FU-10002508,2018-11-01 - 2018-11-30
15.732,Eldon Image Series Black Desk Accessories,FUR-FU-10001847,2018-11-01 - 2018-11-30
168.1,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,OFF-AP-10003040,2018-11-01 - 2018-11-30
590.352,GBC Therma-A-Bind 250T Electric Binding System,OFF-BI-10003718,2018-11-01 - 2018-11-30
1366.288,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454,2018-11-01 - 2018-11-30
5.32,Letter or Legal Size Expandable Poly String Tie Envelopes,OFF-EN-10004846,2018-11-01 - 2018-11-30
2249.91,Logitech diNovo Edge Keyboard,TEC-AC-10004145,2018-11-01 - 2018-11-30
5.56,Newell 318,OFF-AR-10000246,2018-11-01 - 2018-11-30
8.8,Nontoxic Chalk,OFF-AR-10003469,2018-11-01 - 2018-11-30
384.592,Premier Automatic Letter Opener,OFF-SU-10000646,2018-11-01 - 2018-11-30
452.55,Space Solutions Commercial Steel Shelving,OFF-ST-10001511,2018-11-01 - 2018-11-30
36.48,Staples,OFF-FA-10003495,2018-11-01 - 2018-11-30
5.58,"Super Bands, 12/Pack",OFF-FA-10004838,2018-11-01 - 2018-11-30
59.92,Super Decoflex Portable Personal File,OFF-ST-10001580,2018-11-01 - 2018-11-30
76.58,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",OFF-EN-10001335,2018-11-01 - 2018-11-30
859.2,Wilson Electronics DB Pro Signal Booster,TEC-PH-10001817,2018-11-01 - 2018-11-30
23.85,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",OFF-PA-10000791,2018-11-01 - 2018-11-30
12.39,Avery 476,OFF-LA-10004484,2018-11-01 - 2018-11-30
14.94,Avery 513,OFF-LA-10001771,2018-11-01 - 2018-11-30
18.368,Binder Posts,OFF-BI-10002393,2018-11-01 - 2018-11-30
959.984,Canon Image Class D660 Copier,TEC-CO-10003236,2018-11-01 - 2018-11-30
1673.184,Chromcraft Round Conference Tables,FUR-TA-10001095,2018-11-01 - 2018-11-30
307.136,Global Deluxe Office Fabric Chairs,FUR-CH-10001891,2018-11-01 - 2018-11-30
43.5,HP Standard 104 key PS/2 Keyboard,TEC-AC-10002345,2018-11-01 - 2018-11-30
55.984,Hunt Boston Vacuum Mount KS Pencil Sharpener,OFF-AR-10004010,2018-11-01 - 2018-11-30
23.346,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",OFF-BI-10000216,2018-11-01 - 2018-11-30
40.776,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",TEC-AC-10001553,2018-11-01 - 2018-11-30
199.75,Microsoft Sculpt Comfort Mouse,TEC-AC-10004469,2018-11-01 - 2018-11-30
361.376,Polycom SoundPoint IP 450 VoIP phone,TEC-PH-10002549,2018-11-01 - 2018-11-30
486.368,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",FUR-TA-10001086,2018-11-01 - 2018-11-30
62.879999999999995,Sterilite Officeware Hinged File Box,OFF-ST-10001325,2018-11-01 - 2018-11-30
31.984,Telescoping Adjustable Floor Lamp,FUR-FU-10001967,2018-11-01 - 2018-11-30
247.752,Xerox 191,OFF-PA-10000157,2018-11-01 - 2018-11-30
10.688,Xerox 1923,OFF-PA-10002947,2018-11-01 - 2018-11-30
26.4,Xerox 1963,OFF-PA-10001215,2018-11-01 - 2018-11-30
8.56,Xerox 1971,OFF-PA-10000327,2018-11-01 - 2018-11-30
35.88,Xerox 1992,OFF-PA-10003022,2018-11-01 - 2018-11-30
9.664,"Adams Telephone Message Books, 5 1/4” x 11”",OFF-PA-10001560,2018-11-01 - 2018-11-30
23.68,Alphabetical Labels for Top Tab Filing,OFF-LA-10003923,2018-11-01 - 2018-11-30
4.928,Avery 481,OFF-LA-10002195,2018-11-01 - 2018-11-30
4.3,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",OFF-AR-10000657,2018-11-01 - 2018-11-30
194.352,"Carina 42""Hx23 3/4""W Media Storage Unit",OFF-ST-10002344,2018-11-01 - 2018-11-30
